2,1
3,1
3,2
4,1
4,2
4,3
5,1
5,2
5,3
5,4
6,1
6,2
6,3
6,4
6,5
7,1
7,2
7,3
7,4
7,5
7,6
8,1
8,2
8,3
8,4
8,5
8,6
8,7
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,9
11,10
12,2
12,3
12,4
12,5
12,6
12,7
12,8
12,9
12,10
12,11
13,3
13,4
13,5
13,6
13,7
13,8
13,9
13,10
13,11
13,12
14,4
14,5
14,6
14,7
14,8
14,9
14,10
14,11
14,12
14,13
15,5
15,6
15,7
15,8
15,9
15,10
15,11
15,12
15,13
15,14
16,6
16,7
16,8
16,9
16,10
16,11
16,12
16,13
16,14
16,15
17,7
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,15
17,16
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
19,9
19,10
19,11
19,12
19,13
19,14
19,15
19,16
19,17
19,18
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,17
20,18
20,19
21,11
21,12
21,13
21,14
21,15
21,16
21,17
21,18
21,19
21,20
22,12
22,13
22,14
22,15
22,16
22,17
22,18
22,19
22,20
22,21
23,13
23,14
23,15
23,16
23,17
23,18
23,19
23,20
23,21
23,22
24,14
24,15
24,16
24,17
24,18
24,19
24,20
24,21
24,22
24,23
25,15
25,16
25,17
25,18
25,19
25,20
25,21
25,22
25,23
25,24
26,16
26,17
26,18
26,19
26,20
26,21
26,22
26,23
26,24
26,25
27,17
27,18
27,19
27,20
27,21
27,22
27,23
27,24
27,25
27,26
28,18
28,19
28,20
28,21
28,22
28,23
28,24
28,25
28,26
28,27
29,19
29,20
29,21
29,22
29,23
29,24
29,25
29,26
29,27
29,28
30,20
30,21
30,22
30,23
30,24
30,25
30,26
30,27
30,28
30,29
31,21
31,22
31,23
31,24
31,25
31,26
31,27
31,28
31,29
31,30
32,22
32,23
32,24
32,25
32,26
32,27
32,28
32,29
32,30
32,31
33,23
33,24
33,25
33,26
33,27
33,28
33,29
33,30
33,31
33,32
34,24
34,25
34,26
34,27
34,28
34,29
34,30
34,31
34,32
34,33
35,25
35,26
35,27
35,28
35,29
35,30
35,31
35,32
35,33
35,34
36,26
36,27
36,28
36,29
36,30
36,31
36,32
36,33
36,34
36,35
37,27
37,28
37,29
37,30
37,31
37,32
37,33
37,34
37,35
37,36
38,28
38,29
38,30
38,31
38,32
38,33
38,34
38,35
38,36
38,37
39,29
39,30
39,31
39,32
39,33
39,34
39,35
39,36
39,37
39,38
40,30
40,31
40,32
40,33
40,34
40,35
40,36
40,37
40,38
40,39
41,31
41,32
41,33
41,34
41,35
41,36
41,37
41,38
41,39
41,40
42,32
42,33
42,34
42,35
42,36
42,37
42,38
42,39
42,40
42,41
43,33
43,34
43,35
43,36
43,37
43,38
43,39
43,40
43,41
43,42
44,34
44,35
44,36
44,37
44,38
44,39
44,40
44,41
44,42
44,43
45,35
45,36
45,37
45,38
45,39
45,40
45,41
45,42
45,43
45,44
46,36
46,37
46,38
46,39
46,40
46,41
46,42
46,43
46,44
46,45
47,37
47,38
47,39
47,40
47,41
47,42
47,43
47,44
47,45
47,46
48,38
48,39
48,40
48,41
48,42
48,43
48,44
48,45
48,46
48,47
49,39
49,40
49,41
49,42
49,43
49,44
49,45
49,46
49,47
49,48
50,40
50,41
50,42
50,43
50,44
50,45
50,46
50,47
50,48
50,49
